State,Median_Household_Income,Total_Revenue_Thousands,Per_Pupil_Spending,HI_Student_Count
Alabama,66659,12853947,13598.057974691059,7623.0
Arizona,81486,13858937,12002.95847623783,5877.0
Arkansas,62106,7274695,13872.571401134037,4228.0
California,100149,135520606,20233.333933732945,94146.0
Colorado,97113,16594912,15896.961796159752,10693.0
Delaware,87534,2904663,22201.218869790024,2465.0
Florida,77735,44483818,12688.890659562661,35545.0
Georgia,79991,31703886,15832.58588869086,15570.0
Hawaii,100745,4424925,23878.192406738017,1809.0
Idaho,81166,3740648,11056.092267842767,2873.0
Indiana,71959,16986190,13622.208618050034,22019.0
Iowa,75501,8830356,14368.949683577952,0.0
Kentucky,64526,11234085,14595.645822003054,6268.0
Maine,76442,3741382,19961.598431335493,1072.0
Maryland,102905,21478335,20208.056844338946,6837.0
Michigan,72389,28437404,18313.728212184436,17709.0
Minnesota,87117,17045237,17097.981997549126,21704.0
Missouri,71589,15251416,14240.516731236881,9523.0
Montana,75340,2496466,13655.63296604832,527.0
Nebraska,76376,6106544,16147.478470296306,7173.0
New Hampshire,99782,4063113,22978.148088917318,1473.0
New Mexico,67816,6820219,17843.70245401948,3783.0
North Carolina,73958,19911392,12995.157780195865,13666.0
North Dakota,77871,2491793,17102.456812529406,1212.0
Ohio,72212,31534772,17256.78772800193,16521.0
Oklahoma,66148,9342705,12161.561911413197,13063.0
Pennsylvania,77545,41572901,21090.529278419635,24814.0
Rhode Island,83504,3105270,22110.47425651775,1280.0
South Carolina,72350,14299976,15060.061166387202,8383.0
South Dakota,76881,2321396,12828.468033775634,1415.0
Texas,79721,83242165,12443.914223099533,63758.0
Utah,96658,8651130,11342.274736177504,4135.0
Vermont,82730,2643353,28818.337312037012,751.0
Virginia,92090,24378947,17104.335495453983,9947.0
Washington,99389,23779055,18564.368321914342,10435.0
Wisconsin,77488,15618396,15789.79465446149,14614.0
Wyoming,75532,2121410,20520.928592677472,1147.0
